LongName,Club,Best_Position,OVA,Wage_euro
Lionel Messi,"    FC Barcelona",RW,93,560000
C. Ronaldo dos Santos Aveiro,"    Juventus",ST,92,220000
Robert Lewandowski,"    FC Bayern München",ST,91,240000
Neymar da Silva Santos Jr.,"    Paris Saint-Germain",LW,91,270000
Kevin De Bruyne,"    Manchester City",CAM,91,370000
Jan Oblak,"    Atlético Madrid",GK,91,125000
Virgil van Dijk,"    Liverpool",CB,90,210000
Marc-André ter Stegen,"    FC Barcelona",GK,90,260000
Kylian Mbappé,"    Paris Saint-Germain",ST,90,160000
Alisson Ramses Becker,"    Liverpool",GK,90,160000
